codigo;denominacion;precio;marca;producto;stock;viajando;dto;canon
0013t0301;"toner lexmark optra e";71.4;lexmark;fusor;1;0;1;0
0026401;"archivador definitivo 80mm a4 de carton 327x265x85mm blanco azul";1.19;fellowes;papeleria;84;0;1;0
01126301;"cinta de nylon negro";17.59;oki;cinta;7;0;1;0
0142;"soporte de monitor/tv para pared desde 26' hasta 32' inclinacion 15 vesa estandar hasta 75kg plata";5;indefinida;soporte;2;0;1;0
02300bk11045;"ribbon 110mmx450m caja con 12 rollos";108.47;zebra;componente;0;0;1;0
02300gs11007;"wax ribbon 2300 110mm ancho x 74 metros cinta de transferrencia calidad cera color negro caja con 12 rollos";26.3;zebra;cinta;0;0;1;0
02596;"televisor 43'  a series a2z alu20043z uhd 4k resolucion 3840x2160 60hz smart tv android tv 11 sintonizadores dvb-t2 t cs2  1xhdmi  ethernet negro";239;cecotec;televisor;1;0;1;0
0318c001;"tinta pgi-570xl negro 500 paginas aproximadamente";14.2;canon;tinta;3;0;1;0
03200gs06407;"ribbon cera 3200 wax resina 64mm x 74metros desktop caja con 12 rollos";35.13;zebra;consumible;0;0;1;0
03b03-00475700;"disco interno ssd pcie nvme m.2 2280 512gb pcie gen4 ";69.48;union memory;ssd int1;0;0;1;1.5
04911030;"carpeta con elastico formato folio azul (12 unidades)";6.61;grafopla;papeleria;4;0;1;0
0515c106;"impresora multifuncion tinta pixma mg3650s a4 4800x1200ppp usb 2.0 wifi impresion monocromo 9.9ppm impresion color 5.7ppm impresion duplex bandeja entrada papel 100 hojas canon print negro peso 6.5 kg";48.77;canon;imp multif;4;0;1;5.25
0617b001;"tinta cl-41 tricolor (amarillo, magenta y cian)";19.45;canon;tinta;0;0;1;0
0790;"cable desde euroconector macho a euroconector macho longitud 1.5 metros";2.69;media magic;cable;12;0;1;0
09002303;"cinta de nylon u0339 negro";11.18;oki;cinta;43;0;1;0
09002309;"cinta de nylon u0353 negro";12.35;oki;cinta;43;0;1;0
0910301;"boligrafo recargas color azul 12 unidades para ref: 9821502";2.74;fellowes;papeleria;4;0;1;0
10.01.2400;"adaptador desde usb-c macho a usb-a hembra 2.0";1.53;nano cable;adaptador;-26;0;1;0
10.15.2402;"cable desde mini displayport macho a displayport macho longitud 2 metros";3.43;nanocable;cable;6;0;1;0
100017468;"destructora lx70  hasta 11 hojas manual 70gr en particulas de 4x40mm (din p-4) destruye de manera continua durante 5 minutos con 30 minutos de enfriamiento  tambien destruye grapas, clips y tarjetas de credito papelera con capacidad para 18 litros color blanco";72.6;fellowes;desctructor;1;0;1;0
101419;"etiquetadora numerica - 2 lineas, 10 caracteres - facil instalacion de etiquetas y tinta";21.12;apli;etiquetadora;0;0;1;0
103886;"luz baliza de emergencia para coche, led one v16  eco homologada, dispone de base magnetica y un adhesivo de doble cara, geolocalizable, incluye un plan de datos hasta 2038, funciona a pilas de 9v";27.5;erum;accesorio;15;0;1;0
10510601;"grapadora de tenaza metalica rapid k1 hasta 50 hojas grapado abierto y cerrado grapas 24/6-8+ color cromado";23.69;petrus;papeleria;2;0;1;0
10976;"bloc de notas post-it 75x125mm de 100 hojas amarillo";0.6;apli;papeleria;3;0;1;0
10d-215j68128;"tpv 21.5' tactil flat capacitivo 1920x1080 intel j6412 8gb ddr4 128gb ssd 2xusb 2.0 2xusb 3.0 ethernet wifi vga hdmi altavoces 2x2w compatible vesa 100x100 dimensiones 528x319x61mm peso 5.1kg sin sistema operativo";417.3;10pos;tpv;1;0;1;0
10d-215j68128w0;"tpv 21.5' tactil flat capacitivo 1920x1080 intel j6412 8gb ddr4 128gb ssd 2xusb 2.0 2xusb 3.0 ethernet wifi vga hdmi altavoces 2x2w compatible vesa 100x100 dimensiones 528x319x61mm peso 5.1kg windows 10 iot";435.49;10pos;tpv;1;0;1;0
10s0150;"toner lexmark e-210";71.74;lexmark;toner;5;0;1;0
10t-15i5h8256w1;"tpv 10t-17  15' tactil flat capacitivo 1024x768 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi hdmi audio vesa 100x100 windows 11 iot color negro";484.66;10pos;tpv;3;0;1;0
10t-15j418128w0;"tpv 10t-15  15' tactil flat capacitivo 1366x768 intel j4125 2.7ghz 8gb ddr4 128gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga 2xaudio con windows 10 iot color vesa 10x10 negro";330.91;10pos;tpv;2;0;1;0
10t-15j648128;"tpv 10t-15  15' tactil flat capacitivo 1366x768 intel j6412 8gb ddr4 128gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga 2xaudio sin sistema operativo color vesa 10x10 negro";330.63;10pos;tpv;7;0;1;0
10t-16i578256w0;"tpv 10t-16  15.6' tactil flat capacitivo 1366x768 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga 2xaudio vesa 100x100 windows 10 iot color negro";416.73;10pos;tpv;1;0;1;0
10t-16i5h8256;"tpv 10t-16  15.6' tactil flat capacitivo 1368x766 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi hdmi  audio vesa 100x100 sin sistema operativo color negro";403.39;10pos;tpv;4;0;1;0
10t-16j648128;"tpv 10t-16  15.6' tactil flat capacitivo 1366x768 intel j6412 8gb ddr4 128gb ssd 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga audio vesa 100x100 sin sistema operativo color negro";307.81;10pos;tpv;4;0;1;0
10t-16j648128w1;"tpv 10t-16  15.6' tactil flat capacitivo 1366x768 intel j6412 8gb ddr4 128gb ssd 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi vga audio vesa 100x100 windows 11 iot color negro";374.92;10pos;tpv;4;0;1;0
10t-17i5h8256;"tpv 10t-17  17' tactil flat capacitivo 1280x1024 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi hdmi 2xaudio vesa 100x100 sin sistema operativo color negro";462.24;10pos;tpv;2;0;1;0
10t-17i5h8256w1;"tpv 10t-17  17' tactil flat capacitivo 1280x1024 intel i5 7a generacion 3.1ghz 8gb ddr4 256gb ssd msata 4xusb 3.0 2xusb 2.0 2xrs232 ethernet wifi hdmi 2xaudio vesa 100x100 windows 11 iot color negro";536.07;10pos;tpv;2;0;1;0
11.04.5370;"cable desde vga macho a vga hembra longitud 20 metros con ferrita";30.69;roline;cable;24;0;1;0
11.99.4693r;"cable desde usb-a macho + vga macho a usb-b macho + vga hembra longitud 3 metros para kvm";8.35;value;cable;1;0;1;0
110010347453;"smartphone a40 capacidad 128gb ram 6gb procesador qualcomm snapdragon 6s 4g gen 1 pantalla 6.67' camara frontal 5mp camara trasera 50mp bateria 5100mah blanco";103.96;oppo;smartphone;0;0;1;3.25
110010347675;"smartphone a40 capacidad 256gb ram 8gb procesador qualcomm snapdragon 6s 4g gen 1 pantalla 6.67' camara frontal 5mp camara trasera 50mp bateria 5100mah blanco";126.26;oppo;smartphone;2;0;1;3.25
110010347676;"smartphone a40 capacidad 256gb ram 8gb procesador qualcomm snapdragon 6s 4g gen 1 pantalla 6.67' camara frontal 5mp camara trasera 50mp bateria 5100mah negro";123.73;oppo;smartphone;3;0;1;3.25
110010348164;"smartphone a5 pro capacidad 256gb ram 8gb procesador qualcomm 6s gen 1 4g pantalla 6.67' nfc camara frontal 8mp camara trasera 50mp bateria 5800mah dual sim color azul cielo";133.75;oppo;smartphone;0;0;1;3.25
110010348467;"smartphone a5x capacidad 128gb ram 4gb procesador qualcomm 6s gen 1 4g pantalla 6.67' camara frontal 5mp camara trasera 32mp bateria 6000mah dual sim color negro azul";81.47;oppo;smartphone;2;0;1;3.25
